operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
ipfs_add_json,180,0.026616,0.023502,0.010823,0.016127,0.107074
ipfs_cat_json,480,0.001151,0.000770,0.001161,0.000383,0.010266
ipfs_key_gen,180,0.001492,0.001344,0.000776,0.000647,0.007837
ipns_publish,180,26.131097,18.992773,20.352828,2.691406,87.737947
ipns_resolve,480,0.001685,0.001128,0.001705,0.000545,0.013433
