operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
dns_txt_update,248,0.303290,0.177669,0.291750,0.126243,1.045105
dnssec_txt_resolve,465,0.014542,0.013569,0.004336,0.007612,0.034703
