operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
dns_txt_update,240,0.290495,0.164818,0.300996,0.121558,1.094769
dnssec_txt_resolve,450,0.009845,0.009335,0.003700,0.004299,0.038741
