operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
dns_txt_update,180,0.309685,0.153789,0.311415,0.129226,1.027306
dnssec_txt_resolve,450,0.011289,0.010867,0.003077,0.005835,0.041726
ipfs_add_json,180,0.022593,0.021585,0.004275,0.016561,0.061044
ipfs_cat_json,450,0.001621,0.001575,0.000415,0.000891,0.004045
