operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
dns_txt_resolve,450,0.024378,0.023046,0.004469,0.018952,0.046474
dns_txt_update,360,0.286995,0.166148,0.273024,0.128465,1.047997
dnssec_txt_resolve,450,0.011950,0.011192,0.003083,0.007115,0.030173
ipfs_add_json,360,0.022480,0.022041,0.003542,0.015095,0.038100
ipfs_cat_json,900,0.001714,0.001612,0.000548,0.000932,0.011073
