operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
ipfs_add_json,196,0.044155,0.035468,0.032201,0.019003,0.333481
ipfs_cat_json,480,0.001686,0.001238,0.001463,0.000526,0.012215
ipfs_key_gen,192,0.002450,0.002100,0.001423,0.000837,0.012868
ipns_publish,196,31.238388,26.119480,23.458343,3.246936,130.226886
ipns_resolve,480,0.002472,0.001682,0.002478,0.000751,0.023666
