backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
DNSLINK_IPFS_DNSSEC_ON,dap_encrypt_enc_cap,30,0.000975,0.000777,0.000622,0.000514,0.003463
DNSLINK_IPFS_DNSSEC_ON,dap_scenario_total,30,0.001837,0.001515,0.000835,0.001026,0.004777
DNSLINK_IPFS_DNSSEC_ON,decrypt_message,30,0.000013,0.000011,0.000008,0.000006,0.000048
DNSLINK_IPFS_DNSSEC_ON,discovery_scenario_total,30,0.034546,0.032320,0.008479,0.021130,0.052159
DNSLINK_IPFS_DNSSEC_ON,encrypt_message,30,0.000035,0.000029,0.000014,0.000019,0.000085
DNSLINK_IPFS_DNSSEC_ON,generate_identity_c1,30,0.000178,0.000174,0.000008,0.000168,0.000198
DNSLINK_IPFS_DNSSEC_ON,generate_identity_cp,30,0.002133,0.002105,0.000093,0.002017,0.002477
DNSLINK_IPFS_DNSSEC_ON,generate_identity_s1,30,0.000177,0.000180,0.000006,0.000167,0.000187
DNSLINK_IPFS_DNSSEC_ON,generate_identity_sp,30,0.000180,0.000176,0.000009,0.000170,0.000209
DNSLINK_IPFS_DNSSEC_ON,idap_authorize,30,0.056671,0.054498,0.010395,0.042485,0.078879
DNSLINK_IPFS_DNSSEC_ON,idap_replay_check,30,0.055640,0.052704,0.010014,0.041556,0.075532
DNSLINK_IPFS_DNSSEC_ON,idap_scenario_total,30,0.128317,0.121878,0.021694,0.095139,0.170666
DNSLINK_IPFS_DNSSEC_ON,initialize_store,30,0.000004,0.000005,0.000000,0.000004,0.000005
DNSLINK_IPFS_DNSSEC_ON,publish_identity_c1,30,0.386384,0.191806,0.367253,0.161697,1.055866
DNSLINK_IPFS_DNSSEC_ON,publish_identity_cp,30,0.432275,0.551723,0.187562,0.151421,0.597614
DNSLINK_IPFS_DNSSEC_ON,publish_identity_s1,30,0.505256,0.207377,0.417873,0.169736,1.062824
DNSLINK_IPFS_DNSSEC_ON,publish_identity_sp,30,0.187026,0.191585,0.013843,0.156190,0.206316
DNSLINK_IPFS_DNSSEC_ON,publish_provider_registry,30,0.186705,0.186033,0.011454,0.168046,0.220099
DNSLINK_IPFS_DNSSEC_ON,publish_scenario_total,30,1.889752,1.987443,0.456272,1.062907,2.421589
DNSLINK_IPFS_DNSSEC_ON,publish_service_metadata,30,0.192107,0.192196,0.016912,0.156387,0.227006
DNSLINK_IPFS_DNSSEC_ON,resolve_service_public_key,30,0.014597,0.013620,0.003414,0.010249,0.024467
DNSLINK_IPFS_DNSSEC_ON,startup_scenario_total,30,0.002672,0.002652,0.000099,0.002527,0.003017
DNSLINK_IPFS_DNSSEC_ON,tampered_request_sign,30,0.000379,0.000371,0.000105,0.000194,0.000577
DNSLINK_IPFS_DNSSEC_ON,tampering_check,30,0.057217,0.053247,0.011794,0.042706,0.082903
DNSLINK_IPFS_DNSSEC_ON,tampering_scenario_total,30,0.057596,0.053684,0.011884,0.042900,0.083479
DNSLINK_IPFS_DNSSEC_ON,total_flow,30,2.119621,2.222564,0.470095,1.265892,2.682993
DNSLINK_IPFS_DNSSEC_ON,transcript_verify,30,0.000425,0.000411,0.000120,0.000215,0.000611
KNOT_DNS_DNSSEC_OFF,broker_discovery,30,0.080288,0.078368,0.008733,0.066528,0.104728
KNOT_DNS_DNSSEC_OFF,canonical_request_payload,30,0.000017,0.000015,0.000007,0.000011,0.000044
KNOT_DNS_DNSSEC_OFF,client_ephemeral_public_key,30,0.000004,0.000004,0.000002,0.000003,0.000008
KNOT_DNS_DNSSEC_OFF,client_request_sign,30,0.000247,0.000245,0.000025,0.000195,0.000304
KNOT_DNS_DNSSEC_OFF,client_session_init,30,0.000124,0.000121,0.000016,0.000097,0.000169
KNOT_DNS_DNSSEC_OFF,client_session_key_derivation,30,0.000031,0.000031,0.000004,0.000024,0.000043
KNOT_DNS_DNSSEC_OFF,client_shared_secret_derivation,30,0.000168,0.000166,0.000010,0.000156,0.000202
KNOT_DNS_DNSSEC_OFF,compute_transcript,30,0.000041,0.000040,0.000005,0.000032,0.000053
KNOT_DNS_DNSSEC_OFF,crypto_scenario_total,30,0.000033,0.000032,0.000005,0.000026,0.000051
KNOT_DNS_DNSSEC_OFF,dap_create_capability,30,0.000894,0.000869,0.000081,0.000780,0.001064
KNOT_DNS_DNSSEC_OFF,dap_encrypt_enc_cap,30,0.000623,0.000590,0.000088,0.000511,0.000834
KNOT_DNS_DNSSEC_OFF,dap_scenario_total,30,0.001518,0.001486,0.000151,0.001297,0.001823
KNOT_DNS_DNSSEC_OFF,decrypt_message,30,0.000007,0.000006,0.000004,0.000006,0.000026
KNOT_DNS_DNSSEC_OFF,discovery_scenario_total,30,0.080288,0.078368,0.008733,0.066528,0.104728
KNOT_DNS_DNSSEC_OFF,encrypt_message,30,0.000026,0.000025,0.000003,0.000020,0.000035
KNOT_DNS_DNSSEC_OFF,generate_identity_c1,30,0.000179,0.000182,0.000006,0.000166,0.000186
KNOT_DNS_DNSSEC_OFF,generate_identity_cp,30,0.002203,0.002187,0.000089,0.002078,0.002423
KNOT_DNS_DNSSEC_OFF,generate_identity_s1,30,0.000178,0.000180,0.000007,0.000162,0.000195
KNOT_DNS_DNSSEC_OFF,generate_identity_sp,30,0.000188,0.000190,0.000009,0.000170,0.000201
KNOT_DNS_DNSSEC_OFF,idap_authorize,30,0.104338,0.102885,0.006432,0.095788,0.126334
KNOT_DNS_DNSSEC_OFF,idap_replay_check,30,0.094202,0.093377,0.008148,0.084465,0.133099
KNOT_DNS_DNSSEC_OFF,idap_scenario_total,30,0.221779,0.220230,0.009941,0.203994,0.256594
KNOT_DNS_DNSSEC_OFF,initialize_store,30,0.000004,0.000004,0.000000,0.000003,0.000005
KNOT_DNS_DNSSEC_OFF,publish_identity_c1,30,0.342877,0.171133,0.357992,0.145156,1.051951
KNOT_DNS_DNSSEC_OFF,publish_identity_cp,30,0.505329,0.655304,0.254654,0.137760,0.767777
KNOT_DNS_DNSSEC_OFF,publish_identity_s1,30,0.314993,0.171059,0.331505,0.151292,1.072083
KNOT_DNS_DNSSEC_OFF,publish_identity_sp,30,0.171797,0.174696,0.017819,0.139393,0.201727
KNOT_DNS_DNSSEC_OFF,publish_provider_registry,30,0.536624,0.345968,0.371096,0.296592,1.219625
KNOT_DNS_DNSSEC_OFF,publish_scenario_total,30,2.407604,2.679317,0.414069,1.251480,2.847393
KNOT_DNS_DNSSEC_OFF,publish_service_metadata,30,0.535983,0.336840,0.380954,0.285433,1.247261
KNOT_DNS_DNSSEC_OFF,resolve_service_public_key,30,0.022360,0.022431,0.001088,0.019842,0.024476
KNOT_DNS_DNSSEC_OFF,startup_scenario_total,30,0.002752,0.002747,0.000098,0.002602,0.003004
KNOT_DNS_DNSSEC_OFF,tampered_request_sign,30,0.000194,0.000194,0.000014,0.000176,0.000223
KNOT_DNS_DNSSEC_OFF,tampering_check,30,0.088228,0.088004,0.004854,0.080347,0.105422
KNOT_DNS_DNSSEC_OFF,tampering_scenario_total,30,0.088422,0.088186,0.004861,0.080524,0.105645
KNOT_DNS_DNSSEC_OFF,total_flow,30,2.807713,3.069024,0.410590,1.677117,3.239555
KNOT_DNS_DNSSEC_OFF,transcript_verify,30,0.000247,0.000247,0.000013,0.000222,0.000278
KNOT_DNS_DNSSEC_ON,broker_discovery,30,0.040291,0.040305,0.007221,0.026524,0.056316
KNOT_DNS_DNSSEC_ON,canonical_request_payload,30,0.000025,0.000023,0.000009,0.000016,0.000070
KNOT_DNS_DNSSEC_ON,client_ephemeral_public_key,30,0.000008,0.000006,0.000003,0.000004,0.000020
KNOT_DNS_DNSSEC_ON,client_request_sign,30,0.000465,0.000452,0.000088,0.000265,0.000640
KNOT_DNS_DNSSEC_ON,client_session_init,30,0.000238,0.000246,0.000051,0.000129,0.000364
KNOT_DNS_DNSSEC_ON,client_session_key_derivation,30,0.000034,0.000033,0.000013,0.000015,0.000083
KNOT_DNS_DNSSEC_ON,client_shared_secret_derivation,30,0.000383,0.000411,0.000057,0.000217,0.000461
KNOT_DNS_DNSSEC_ON,compute_transcript,30,0.000048,0.000047,0.000014,0.000020,0.000074
KNOT_DNS_DNSSEC_ON,crypto_scenario_total,30,0.000059,0.000056,0.000020,0.000028,0.000115
KNOT_DNS_DNSSEC_ON,dap_create_capability,30,0.001218,0.001183,0.000419,0.000656,0.003014
