backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
KNOT_DNS,initialize_store,31,0.000003,0.000003,0.000000,0.000003,0.000004
KNOT_DNS,publish_identity_c1,31,0.284937,0.178911,0.285775,0.136493,1.040765
KNOT_DNS,publish_identity_cp,31,0.336422,0.145961,0.241785,0.126617,0.660982
KNOT_DNS,publish_identity_s1,31,0.370681,0.187034,0.355453,0.149169,1.043177
KNOT_DNS,publish_identity_sp,31,0.274323,0.167809,0.298057,0.134100,1.047212
KNOT_DNS,publish_provider_registry,31,0.626137,0.365231,0.393773,0.323171,1.204344
KNOT_DNS,publish_scenario_total,31,2.438340,2.276426,0.436356,1.312756,3.100593
KNOT_DNS,publish_service_metadata,31,0.545840,0.363617,0.353315,0.329459,1.207525
KNOT_DNS,resolve_service_public_key,31,0.014366,0.014281,0.002033,0.008922,0.018811
KNOT_DNS,startup_scenario_total,31,0.003249,0.002637,0.002346,0.002517,0.012514
KNOT_DNS,tampered_request_sign,31,0.000638,0.000614,0.000116,0.000431,0.000951
KNOT_DNS,tampering_check,31,0.058260,0.058748,0.006441,0.036969,0.070653
KNOT_DNS,tampering_scenario_total,31,0.058898,0.059376,0.006490,0.037400,0.071388
KNOT_DNS,total_flow,31,2.703053,2.538561,0.450103,1.501981,3.374584
KNOT_DNS,transcript_verify,31,0.000709,0.000676,0.000172,0.000463,0.001413
