operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
dns_txt_resolve,465,0.015664,0.013253,0.016357,0.008461,0.340566
dns_txt_update,186,0.117341,0.023303,0.245750,0.013063,1.013707
ipfs_add_json,186,0.021879,0.018413,0.016865,0.011124,0.148837
ipfs_cat_json,465,0.001218,0.001045,0.000897,0.000611,0.012732
